Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.66766240138851E-18,0,1.73472347597681E-18,0,0,0,0.001,1.66666666666667E-08,-8.67077671120512E-25,-3.44041988923179E-25,1.66666666666667E-08,-3.78038207477916E-25,1.66666666666667E-08,0,0,0,0,0,0,package://dice/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_F,-9.50512573988481E-05,4.92688674394559E-05,-0.00351193570807691,0,0,0,0.00411752113638231,2.24591411192829E-07,4.1775457465822E-10,3.96046905828484E-10,2.27172193413413E-07,-2.05286947664401E-10,3.96928952994179E-07,0,0,0,0,0,0,package://dice/meshes/link_F.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/link_F.STL,,F-1,Origin_joint_F2,Axis_joint_F,joint_F,fixed,0.015,0,0,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
link_letter_F,-0.00181350065894689,0.000940009906361396,-0.0025,0,0,0,0.000215812196951019,4.74149938848785E-09,-8.049341101153E-10,1.38286838893634E-26,1.61444722525123E-09,-2.27586779268183E-25,5.45672912644316E-09,0,0,0,0,0,0,package://dice/meshes/link_letter_F.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/link_letter_F.STL,,letter_f^dice-1,Origin_joint_letter_F,Axis_joint_letter_F,joint_letter_F,fixed,0,0,0,0,0,-3.14159265358979,link_F,0,0,0,,,,,,,,,,,,
link_B,1.94927574249588E-05,-7.81931638434252E-05,0.00354516982610781,0,0,0,0.0039866290374869,2.20094886421421E-07,2.78909724079855E-10,8.13467845835244E-11,2.25751803876546E-07,-3.25937949196092E-10,3.91834477384909E-07,0,0,0,0,0,0,package://dice/meshes/link_B.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/link_B.STL,,B-1,Origin_joint_B2,Axis_joint_B,joint_B,fixed,-0.015,0,0,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
link_letter_B,0.000225151490672439,-0.000901444768498538,0.00250001505244807,0,0,0,0.000346813932855846,8.99761241320047E-09,-3.52365205874907E-10,5.5591649616148E-15,3.62562344499346E-09,-2.57589182593363E-14,1.11782203674508E-08,0,0,0,0,0,0,package://dice/meshes/link_letter_B.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/link_letter_B.STL,,letter_b^dice-1,Origin_joint_letter_B,Axis_joint_letter_B,joint_letter_B,fixed,0,0,0,0,0,3.14159265358979,link_B,0,0,0,,,,,,,,,,,,
link_L,-7.26717053836479E-05,6.9109794379726E-05,0.00349907074228167,0,0,0,0.00417054217517258,2.24579816896208E-07,3.68564469772318E-10,-3.02798772431858E-10,2.2799869045033E-07,2.8795747658216E-10,3.97415726691221E-07,0,0,0,0,0,0,package://dice/meshes/link_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/link_L.STL,,L-1,Origin_joint_L,Axis_joint_L,joint_L,fixed,0,0.015,0,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
link_letter_L,-0.00186177440880996,-0.0017705219093871,-0.0025,0,0,0,0.00016279115816075,4.47715992217448E-09,9.26120804927491E-10,3.19323213218057E-25,1.00222206440924E-09,-4.45706747723961E-26,4.80108549424727E-09,0,0,0,0,0,0,package://dice/meshes/link_letter_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/link_letter_L.STL,,letter_l^dice-1,Origin_joint_letter_L,Axis_joint_letter_L,joint_letter_L,fixed,0,0,0,3.14159265358979,0,3.14159265358979,link_L,0,0,0,,,,,,,,,,,,
link_R,4.07208019225084E-06,-9.46811327945319E-05,0.00354091263991495,0,0,0,0.0040028736788808,2.21225318375563E-07,-1.72199688799733E-10,1.68852294481576E-11,2.25392434040849E-07,-3.94464690581226E-10,3.92502204652984E-07,0,0,0,0,0,0,package://dice/meshes/link_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/link_R.STL,,R-1,Origin_joint_R,Axis_joint_R,joint_R,fixed,0,-0.015,0,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
link_letter_R,4.84262186075055E-05,0.00114631655590035,-0.00249997381541772,0,0,0,0.000330397797517397,7.71637305365668E-09,-1.51008081448684E-10,-3.05343836971532E-14,4.01814143157033E-09,-7.66018160442713E-14,1.03577451336102E-08,0,0,0,0,0,0,package://dice/meshes/link_letter_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/link_letter_R.STL,,letter_r^dice-1,Origin_joint_letter_R,Axis_joint_letter_R,joint_letter_R,fixed,0,0,0,-3.14159265358979,0,3.14159265358979,link_R,0,0,0,,,,,,,,,,,,
link_U,3.26036309539202E-06,5.24661179217773E-05,0.00352418792456442,0,0,0,0.00406827782939128,2.22348800183004E-07,-4.87811881417785E-12,1.34925868413748E-11,2.24867386424086E-07,2.18716156107312E-10,3.92688856232812E-07,0,0,0,0,0,0,package://dice/meshes/link_U.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dice/meshes/link_U.STL,,U-1,Origin_joint_U,Axis_joint_U,joint_U,fixed,0,0,0.015,-3.14159265358979,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
